Episode,Reward
0,-93.2481
1,-86.4706
2,-79.4824
3,-93.991
4,-77.9342
5,-93.0008
6,-74.544
7,-12.2789
8,-17.8171
9,-11.6232
10,-12.6308
11,-11.6541
12,-8.46528
13,-15.7609
14,-14.7149
15,-17.327
16,-15.405
17,-15.04
18,-78.1632
19,19.7177
20,1.03958
21,0.882628
22,1.63069
23,1.98373
24,2.1101
25,1.57248
26,0.589033
27,2.0222
28,1.44032
29,0.465949
30,1.6919
31,2.11366
32,0.911063
33,1.51824
34,0.230787
35,1.10891
36,0.587537
37,2.40615
38,1.33953
39,2.01744
40,2.01803
41,2.53152
42,0.62023
43,2.3647
44,-0.0677397
45,2.42872
46,2.73074
47,-0.194973
48,0.606631
49,2.19859
50,1.97563
51,1.21977
52,0.662112
53,1.79531
54,2.49712
55,2.37897
56,1.78867
57,1.97318
58,1.15316
59,1.65851
60,2.52832
61,0.510206
62,0.350804
63,0.205484
64,1.36405
65,-0.0390602
66,1.50929
67,3.31629
68,3.02383
69,2.90148
70,2.46287
71,1.87342
72,-0.226209
73,2.22483
74,-0.703065
75,2.25602
76,0.234435
77,1.50725
78,1.72847
79,0.900753
80,1.72585
81,1.39908
82,0.895622
83,-0.233389
84,1.56157
85,2.61564
86,0.25376
87,1.42249
88,1.26321
89,1.00558
90,0.0614599
91,1.16669
92,2.87445
93,1.44756
94,0.751449
95,1.67288
96,0.729554
97,1.71686
98,3.18177
99,2.09985
100,1.81722
101,0.199462
102,1.42818
103,1.26754
104,2.08804
105,2.12873
106,1.8961
107,-0.298212
108,2.1641
109,0.596519
110,0.249717
111,2.52266
112,1.26304
113,1.88522
114,0.286043
115,-0.4572
116,0.541906
117,2.49702
118,1.47323
119,-5.35206
120,-8.12237
121,-9.8801
122,-9.85546
123,-4.80919
124,-8.26053
125,-8.83178
126,-8.7991
127,-5.90862
128,-9.03151
129,-8.63289
130,-10.8671
131,-9.63831
132,-6.14047
133,-8.16435
134,-8.45451
135,-6.40967
136,-9.15237
137,-10.6595
138,-7.41228
139,-7.98354
140,-9.79542
141,-7.56801
142,-13.5878
143,-7.56717
144,-10.4544
145,-9.28927
146,-10.9576
147,1.87599
148,0.718646
149,1.81487
150,2.79166
151,0.698039
152,0.126231
153,1.52253
154,1.02813
155,1.66201
156,1.48309
157,-11.003
158,-11.341
159,-7.76926
160,-10.0467
161,-7.64321
162,-9.91696
163,-11.7519
164,-7.50262
165,-11.2424
166,-11.5976
167,-7.89836
168,-12.3884
169,-11.3094
170,-9.66222
171,-9.9167
172,-9.43441
173,-11.5565
174,-8.48741
175,-4.92801
176,-10.2688
177,-7.09065
178,1.83006
179,0.912585
180,1.74725
181,1.35101
182,2.06334
183,1.30243
184,0.422522
185,0.805314
186,2.01235
187,-0.0700488
188,2.37332
189,2.04641
190,2.83454
191,2.96336
192,0.966167
193,1.59235
194,0.989705
195,2.24504
196,2.17191
197,-0.894543
198,2.04593
199,2.30195
200,-0.120075
201,2.60264
202,3.32405
203,1.57383
204,2.23538
205,1.25455
206,1.43808
207,1.26072
208,1.66207
209,1.71891
210,1.08576
211,0.786434
212,0.288754
213,1.726
214,0.754553
215,2.0343
216,1.59222
217,0.0320729
218,2.64185
219,0.99635
220,0.095991
221,0.0717348
222,1.29044
223,0.569776
224,2.19553
225,1.80654
226,2.57161
227,1.67841
228,1.74621
229,2.90697
230,0.669612
231,0.801175
232,0.900927
233,0.145246
234,2.10645
235,1.45935
236,2.52317
237,1.84212
238,2.44935
239,-0.681927
240,0.752069
241,2.85197
242,-8.37849
243,-14.3545
244,-9.73905
245,-7.63862
246,-7.03522
247,-5.13835
248,1.66338
249,0.385333
250,1.02065
251,2.042
252,2.43556
253,1.0398
254,1.38537
255,3.4751
256,1.52378
257,2.6105
258,3.40452
259,0.153111
260,-0.252646
261,0.551507
262,0.687981
263,2.55249
264,0.700867
265,2.49049
266,0.934538
267,2.29931
268,0.167036
269,2.31954
270,0.427712
271,1.86011
272,0.774098
273,2.24119
274,2.63144
275,0.939234
276,1.54212
277,2.44192
278,0.997069
279,2.0554
