Episode,Reward
0,-79.6387
1,-92.584
2,-85.4821
3,-93.7651
4,-93.7953
5,-79.45
6,-77.937
7,46.7354
8,-17.4268
9,-11.3225
10,24.6367
11,-69.4235
12,-70.1316
13,21.0664
14,11.3759
15,-27.3026
16,-75.4304
17,-37.5944
18,-40.1683
19,0.43892
20,0.456462
21,0.424124
22,1.85125
23,2.88917
24,0.949928
25,1.03255
26,0.242535
27,0
28,-0.293789
29,0
30,3.19823
31,2.11446
32,0.128524
33,0.283568
34,1.06086
35,2.70291
36,19.0802
37,9.94257
38,21.7421
39,32.0662
40,7.67102
41,17.729
42,1.29069
43,0.261475
44,1.46501
45,1.35975
46,2.43809
47,-1.67738
48,0
49,0
50,-0.371763
51,0
52,0
53,-10.6831
54,-0.371763
55,-5.93916
56,-8.09376
57,-4.4133
58,-10.3347
59,-6.76724
60,-9.05898
61,-0.411069
62,-5.14243
63,-0.25203
64,-5.75277
65,-6.00652
66,-6.7526
67,-8.72254
68,-1.33616
69,-3.3736
70,-4.37712
71,-2.82263
72,-0.316541
73,0
74,0
75,-0.394871
76,-1.31687
77,0
78,-0.736332
79,-0.314396
80,0
81,0
82,0
83,1.19169
84,1.85669
85,1.10755
86,0.380219
87,0.746946
88,-0.337565
89,0.081764
90,-0.899636
91,0
92,1.6964
93,0.446344
94,8.21453
95,86.5378
96,1.11585
97,0
98,-0.649612
99,0.0560134
100,0.132456
101,0
102,0.512653
103,0.0868463
104,0
105,0
106,-1.49137
107,-0.28693
108,0
109,0
110,0
111,1.99032
112,0.728894
113,0.159064
114,-53.8531
115,-67.899
116,-0.46501
117,0.231198
118,0
119,61.5246
120,14.535
121,4.08085
122,0.110537
123,0
124,-0.155931
125,0
126,0.0739459
127,0.0739459
128,-0.189086
129,2.05318
130,1.00699
131,0
132,0.210661
133,0.158723
134,0.358335
135,0.0226919
136,0.618477
137,0
138,-0.437879
139,0
140,1.24477
141,0.0868463
142,0.110537
143,0.546893
144,0
145,1.32222
146,0
147,-0.45661
148,0
149,-0.45661
150,-0.282289
151,-3.01828
152,-1.50737
153,-0.492557
154,0
155,0.977123
156,0
157,-0.404732
158,0.0754473
159,0
160,0.0785422
161,1.0271
162,0
163,0.577283
164,196.097
165,19.5325
166,154.165
167,247.655
168,312.703
169,163.168
170,225.598
171,219.589
172,297.834
173,336.171
174,262.839
175,223.761
176,342.044
177,386.683
178,307.016
179,262.766
180,338.439
181,321.438
182,289.812
183,252.576
184,236.648
185,230.216
186,231.686
187,293.749
188,326.913
189,265.863
190,294.3
191,242.472
192,241.998
193,258.628
194,245.081
195,175.68
196,331.806
197,184.069
198,202.78
199,273.92
200,336.272
201,309.604
202,263.764
203,264.716
204,247.774
205,335.819
206,234.992
207,318.503
208,185.072
209,262.744
210,196.096
211,247.184
212,288.913
213,210.719
214,287.417
215,270.476
216,208.444
217,264.496
218,278.891
219,281.298
220,249.228
221,257.105
222,203.494
223,297.091
224,256.422
225,191.239
226,197.419
227,331.784
228,348.468
229,255.466
230,244.029
231,355.511
232,247.603
233,226.118
234,332.359
235,269.668
236,277.384
237,333.402
238,190.781
239,260.445
240,223.132
241,325.8
242,162.465
243,295.408
244,229.18
245,237.955
246,277.14
247,241.373
248,246.933
249,276.291
250,287.774
251,273.436
252,198.314
253,260.91
254,304.957
255,322.362
256,231.552
257,283.529
258,239.847
259,440.741
260,286.629
261,301.766
262,292.053
263,209.062
264,380.566
265,-23.7881
266,-33.8256
267,-17.9796
268,-43.5375
269,-28.2249
270,-9.9796
271,267.833
272,318.972
273,308.446
274,321.615
275,280.447
276,266.344
277,230.1
278,225.501
279,178.111
280,236.641
281,220.889
282,198.534
283,284.644
284,274.063
285,295.375
286,264.259
287,247.291
288,202.745
289,204.087
290,239.659
291,-31.1099
292,-15.7018
293,-18.3605
294,-33.036
295,234.572
296,215.432
297,-78.1431
298,276.684
299,222.247
300,-75.5941
301,7.65988
302,2.50206
303,-3.5937
304,0.269955
305,163.293
306,126.153
307,138.456
308,17.2868
309,0
310,0
311,0.246871
312,0
313,0.155564
314,0
315,0
316,-0.238238
317,0
318,0.80133
319,0.16619
320,-0.142135
321,0
322,-0.492585
323,-0.275923
324,0.562873
325,1.83687
326,0
327,0.801111
328,0
329,0
330,-49.4327
331,-2.00255
332,0
333,0
334,0
335,0
336,-12.3417
337,0
338,-6.50947
339,-33.4993
340,-73.6254
341,-80.3934
342,-78.6872
343,-22.1525
344,-28.1496
345,-25.4453
346,-28.0751
347,-16.9811
348,-33.5191
349,-30.5466
350,253.626
351,222.887
352,275.08
353,346.409
354,260.831
355,240.698
356,-4.60102
357,-85.7842
358,-75.0062
359,0.165234
360,0
361,-0.492585
