Episode,Reward
0,-81.3957
1,-21.6327
2,-26.3183
3,-15.8755
4,295.326
5,-57.324
6,-82.7386
7,-75.5167
8,-83.8416
9,315.03
10,193.249
11,-89.7221
12,-41.9728
13,-65.8622
14,21.345
15,-75.0361
16,-72.9223
17,-73.9358
18,-12.883
19,-11.5913
20,-18.5207
21,-9.1845
22,-13.3491
23,-11.8484
24,-6.86524
25,-8.70284
26,-5.84429
27,-10.1959
28,-10.6819
29,2.04239
30,3.16864
31,-38.1058
32,-40.0101
33,2.15967
34,0.737678
35,2.62856
36,-0.949862
37,2.74196
38,1.15097
39,1.8092
40,0
41,0.413042
42,0.0834242
43,0.301484
44,1.88327
45,0.488333
46,0.085118
47,0.331148
48,0.441148
49,1.48377
50,0.0999674
51,-0.157963
52,0.0868463
53,0
54,0.64065
55,-2.44652
56,-0.786835
57,0.441632
58,1.75633
59,0.636596
60,0
61,-0.406833
62,0
63,0.168589
64,0
65,0.128025
66,0
67,0
68,0
69,0.624434
70,0.119791
71,0
72,0
73,0.122223
74,0.217574
75,0
76,0.268902
77,0
78,0.122223
79,0
80,0
81,0
82,0
83,-0.861527
84,2.67339
85,1.87738
86,0.779578
87,1.44952
88,1.7575
89,-1.01281
90,0.709684
91,-0.3146
92,2.32796
93,-2.74135
94,1.5192
95,4.05877
96,2.38004
97,0.826468
98,0.602068
99,-0.567991
100,0.486533
101,1.7992
102,1.39207
103,1.26816
104,-0.569549
105,17.1923
106,1.61856
107,0.016322
108,0.583499
109,1.0784
110,1.89717
111,1.14937
112,-3.32775
113,1.07189
114,2.01972
115,2.28176
116,2.33823
117,-3.75289
118,1.32503
119,-1.15653
120,21.7376
121,23.2716
122,16.0912
123,23.1971
124,-74.0688
125,32.1651
126,3.56024
127,1.48067
128,-1.61006
129,-0.893009
130,-1.04432
131,-1.12162
132,1.32082
133,-2.33476
134,3.06329
135,2.87208
136,-2.56844
137,-5.42854
138,-1.11359
139,5.34604
140,-1.44419
141,2.88287
142,0.815048
143,0.696039
144,4.27094
145,2.57493
146,-6.71343
147,0.798827
148,-0.0686161
149,-0.918074
150,0
151,16.4387
152,1.71834
153,1.26123
154,1.36183
155,0.545994
156,0.696791
157,0.159263
158,1.16961
159,1.86741
160,0
161,0.0868463
162,2.04883
163,1.21592
164,1.55587
165,-0.390839
166,2.70348
167,-49.627
168,0.526928
169,-22.6991
170,-10.5808
171,0.884792
172,1.2084
173,0.641632
174,0.0739459
175,-0.556851
176,1.37185
177,0.417988
178,1.24834
179,0
180,0.574909
181,0.0868463
182,2.04391
183,0.614142
184,0.0941173
185,0
186,0
187,0.223938
188,0
189,0
190,0
191,0
192,1.49011
193,0.085118
194,0
195,0.0754473
196,0.757105
197,0
198,-0.895469
199,4.96016
200,33.3484
201,3.6202
202,0.124621
203,-2.22555
204,1.77553
205,0.902119
206,3.18699
207,-0.435099
208,1.36836
209,2.0571
210,1.73723
211,0.220202
212,0
213,0
214,-0.232476
215,-0.429889
216,0
217,-0.42559
218,-2.61865
219,0.0739459
220,0.507703
221,-2.14265
222,0
223,0
224,0
225,0
226,-26.5998
227,-2.44772
228,-12.8393
229,-0.587037
230,-0.0517582
231,0
232,0
233,-5.81948
234,0
235,-43.9696
236,-3.68457
237,0.256701
238,0
239,0
240,-0.605006
241,0.127237
242,0.420794
243,2.2081
244,0.46833
245,16.1929
246,15.4154
247,25.2404
248,38.2931
249,22.8143
250,-1.5677
251,-1.23012
252,23.9861
253,0.846913
254,-0.555724
255,1.63997
256,0
257,0
258,0
259,0
260,0
261,0.137853
262,0.152469
263,2.53983
264,0.233955
265,0.0886096
266,0
267,0.106181
268,0
269,0
270,0
271,-3.70674
272,0
273,0.84194
274,0
275,0.579415
276,0
277,0
278,-7.67803
279,0
280,0.135146
281,0.232007
282,0.834656
283,0
284,1.25925
285,-0.438618
286,-0.655349
287,-0.430019
288,0
289,-5.98576
290,0
291,0
292,-0.447523
293,-4.23893
294,-0.554376
295,2.16933
296,-0.41295
297,-8.45974
298,-0.9796
299,-0.770367
300,0
301,-39.1059
302,0
303,-1.67991
304,1.26693
305,-0.525596
306,-0.0727813
307,0.919869
308,0.24091
309,0
310,0
311,0
312,0.0698558
313,0.0960283
314,-0.515137
315,0.104068
316,0
317,1.28802
318,-4.13892
319,-2.19526
320,0.725867
321,-2.18327
322,-1.99602
323,-3.47485
324,0.349651
325,-5.85372
326,-0.61335
327,1.15721
328,2.69564
329,3.36364
330,2.09091
331,1.95935
332,3.04944
333,0.842312
334,0.158723
335,1.78634
336,0.129821
337,0
338,1.52223
339,1.46765
340,1.41643
341,1.98183
342,-0.170839
343,2.12801
344,2.3184
345,14.8758
346,9.84591
347,38.1571
348,17.4124
349,30.6116
350,7.3633
351,13.2639
352,21.613
353,28.7987
354,18.5457
355,23.352
356,20.6818
357,5.81502
358,29.941
359,22.8399
360,13.5837
361,31.237
362,24.0961
363,22.0927
364,21.2701
365,33.2976
366,9.01703
367,11.9094
368,14.7714
369,16.6263
370,15.4597
371,14.8583
372,13.6047
373,11.9271
374,19.1553
375,9.19033
376,18.095
377,6.64876
378,23.2623
379,38.2255
380,7.80451
381,-44.6621
382,-38.7597
383,-41.9415
384,-19.5584
385,-21.9019
386,-17.8713
387,-48.878
388,-41.9322
389,-59.2186
390,25.0944
391,5.0032
392,8.99542
393,16.7505
394,19.5878
395,24.1281
396,11.7313
397,-43.7073
398,-25.2913
399,-13.4967
400,0.146461
401,2.84743
402,0.549968
403,-1.28127
404,0.273185
405,0.13789
406,0.490453
407,1.45269
408,1.72555
409,0
410,1.1298
411,0
412,-0.387013
413,1.7435
414,1.56079
415,1.05675
416,-0.502587
417,0
418,2.03498
419,0.1254
420,-1.55326
421,0
422,1.97609
423,0.765792
424,0.314319
425,-7.14102
426,-68.0144
427,-42.5007
428,0.887073
429,0.192102
430,0.302635
431,2.39995
432,27.0738
433,35.0211
434,37.2381
435,41.3449
436,38.7163
437,17.8143
438,20.0504
439,29.4561
440,24.2744
441,10.1828
442,26.528
443,50.874
444,20.7742
445,34.1736
446,36.9032
447,41.4081
448,21.7444
449,38.4766
450,33.6537
451,34.3427
452,-4.56381
453,-2.1349
454,-3.20139
455,-1.47756
456,-1.57939
457,-0.966033
458,-6.67443
459,-2.71519
460,-0.483735
461,-2.9513
462,-5.87899
463,0
464,1.78483
465,5.15403
466,38.7192
467,42.4548
468,2.93639
469,16.024
470,5.99729
471,-7.02401
472,25.174
473,38.5099
474,-4.42415
475,3.18772
476,1.83526
477,4.25974
478,-1.69444
479,-0.662023
480,-5.071
481,-2.14944
482,1.63608
483,0
484,0.152469
485,2.80222
486,2.75582
487,2.5553
488,-5.498
489,-0.507113
490,3.6404
491,-55.8298
492,-53.7061
493,-53.963
494,-46.6611
495,-56.9565
496,2.60215
497,4.67914
498,0.230188
499,0.579266
500,10.7552
501,13.7924
502,-1.50996
503,24.7542
504,28.0145
505,-66.4565
506,-60.8046
507,-0.7554
508,6.08992
509,4.34869
510,-1.04139
511,1.88755
512,1.31171
513,2.44872
514,-0.360851
515,0
516,3.52864
517,0.60455
518,0
519,1.3885
520,-0.295943
521,0
522,0
523,0
524,0.247412
525,0.115071
526,0
527,0
528,0
529,0
530,0.735168
531,0.969355
532,0.0801369
533,1.36724
534,0
535,0.13789
536,0
537,0.0868463
538,0
539,0.435202
540,0.149434
541,-0.835958
542,-1.99615
543,0.085118
544,-1.17739
545,-4.07113
546,-5.76222
547,0
548,-57.8975
549,0
550,0
551,0
552,0.494589
553,18.4536
554,0
555,0.0801369
556,0.165234
557,-0.679446
558,0
559,1.15285
560,1.57569
561,0
562,0.122223
563,0
564,0.242993
565,0
566,0.274619
567,0.967429
568,-0.404732
569,0.833813
570,0
571,0.14069
572,0
573,0.542148
574,0
575,0
576,-5.45931
577,28.6913
578,1.72408
579,67.9029
580,101.998
581,-0.868746
582,-7.12634
583,-31.3843
584,0
585,-0.682555
586,0
587,-0.534503
588,-6.65517
589,-4.29247
590,-5.66086
591,124.382
592,-1.37201
593,-5.28308
594,0
595,66.3328
596,356.348
