Episode,Reward
0,-79.4616
1,-81.012
2,-54.9121
3,-53.7679
4,106.821
5,-86.5831
6,-86.2319
7,-79.134
8,-86.5893
9,-16.6705
10,-78.0629
11,9.50365
12,-63.2228
13,-64.0018
14,-61.4746
15,31.082
16,-61.7088
17,-61.8367
18,-64.9735
19,-61.9198
20,20.6237
21,-59.794
22,-62.6659
23,-62.5858
24,19.433
25,-60.5843
26,-62.8779
27,-62.9755
28,-61.3528
29,29.0542
30,22.2672
31,24.0985
32,24.7224
33,19.8165
34,18.477
35,9.54828
36,26.0393
37,27.4737
38,22.4607
39,11.5832
40,5.15255
41,11.5004
42,22.3037
43,16.1054
44,25.2414
45,18.9525
46,20.2308
47,15.0984
48,32.047
49,12.0599
50,0.668393
51,-0.325841
52,11.5434
53,17.1079
54,1.43595
55,19.4278
56,9.32385
57,-61.1037
58,27.891
59,-61.9123
60,21.6171
61,11.0779
62,17.1535
63,26.2922
64,19.5517
65,18.2411
66,10.6323
67,8.90416
68,16.4321
69,25.941
70,23.0709
71,24.8695
72,17.2509
73,3.68699
74,31.6407
75,29.3019
76,24.8421
77,19.5929
78,23.0582
79,25.2579
80,17.4258
81,11.4423
82,8.47918
83,8.18045
84,13.8063
85,13.4059
86,29.8735
87,23.0837
88,20.9024
89,31.4742
90,13.2026
91,19.3029
92,8.43121
93,21.0922
94,12.0509
95,29.6697
96,12.5443
97,12.8911
98,26.4814
99,14.9683
100,11.3406
101,22.6232
102,22.6168
103,20.1034
104,31.5123
105,24.6205
106,10.6837
107,27.3001
108,20.723
109,28.1183
110,16.6729
111,34.6792
112,14.4254
113,26.7774
114,17.1949
115,22.3841
116,25.7118
117,11.5889
118,17.4611
119,23.5096
120,9.9211
121,14.4668
122,13.0452
123,19.6702
124,20.8536
125,8.37071
126,18.5266
127,25.2411
128,16.4865
129,11.0968
130,16.6533
131,17.6751
132,16.0514
133,24.0752
134,26.3211
135,15.8784
136,27.0946
137,25.7594
138,8.52685
139,31.6518
140,7.37941
141,9.10125
142,16.7585
143,18.7929
144,4.2332
145,22.2979
146,15.9023
147,9.54664
148,15.3094
149,15.5438
150,2.25506
151,35.4735
152,22.9451
153,3.20351
154,15.1181
155,25.0081
156,14.6782
157,30.5304
158,28.6902
159,26.1427
160,24.304
161,14.8439
162,13.6973
163,24.2912
164,17.8417
165,23.435
166,9.18112
167,35.0946
168,26.8111
169,25.6626
170,19.2896
171,0.772629
172,25.7174
173,31.6182
174,31.9203
175,1.74177
176,34.9959
177,29.2703
178,12.8084
179,20.8934
180,18.1664
181,21.3793
182,18.0843
183,8.36678
184,2.94658
185,8.9995
186,12.4766
187,9.35508
188,10.5061
189,24.503
190,28.5328
191,24.7017
192,15.6578
193,12.821
194,26.9258
195,18.3164
196,22.4321
197,30.5227
198,23.2805
199,22.1312
200,24.5232
201,22.2699
202,2.68783
203,23.2636
204,20.6917
205,16.315
206,17.0035
207,16.9668
208,13.823
209,30.3638
210,19.0768
211,17.6287
212,18.817
213,8.8601
214,26.228
215,6.63331
216,9.47931
217,15.4511
218,14.4611
219,26.7395
220,20.9831
221,8.93112
222,18.5965
223,23.7774
224,13.5704
225,14.5432
226,30.0699
227,19.9217
228,14.2857
229,17.9164
230,17.0667
231,27.3162
232,13.1342
233,5.79307
234,12.988
235,28.225
236,17.3963
237,17.3005
238,9.04269
239,27.203
240,17.3159
241,25.9851
242,25.6479
243,19.6885
244,20.3983
245,15.4335
246,35.5145
247,28.7477
248,13.4364
249,13.0176
250,27.0925
251,7.48917
252,25.66
253,22.3611
254,12.2146
255,10.0499
256,25.1685
257,19.9878
258,20.9061
259,10.9044
260,24.3566
261,18.119
262,35.1375
263,2.00353
264,24.3586
265,29.2202
266,12.7977
267,11.4534
268,22.1336
269,12.3876
270,33.5749
271,3.99387
272,30.2157
273,9.49315
274,20.2076
275,25.9205
276,25.0508
277,35.3398
278,6.03552
279,15.0775
280,7.97431
281,26.6967
282,22.5556
283,30.1017
284,25.7643
285,19.8118
286,21.2009
287,19.7852
288,17.3057
289,20.8956
290,28.4071
291,21.3074
292,26.5958
293,28.2096
294,28.8622
295,13.4827
296,22.0379
297,11.4847
298,15.4713
299,24.9368
300,33.1361
301,22.6805
302,19.424
303,48.2753
304,22.6107
305,26.941
306,30.7552
307,37.5682
308,22.0255
309,21.0646
310,17.4354
311,18.4143
312,8.14604
313,9.37518
314,6.09536
315,24.9617
316,37.316
317,19.7925
318,1.11664
319,12.194
320,19.5212
321,24.1599
322,20.8183
323,21.8705
324,22.3853
325,16.6622
326,21.5061
327,10.3738
328,22.1596
329,26.9397
330,10.1728
331,24.6813
332,24.1247
333,27.2712
334,27.1907
335,11.8847
336,6.15552
337,25.0871
338,21.9064
339,18.529
340,25.7642
341,13.0597
342,19.0552
343,22.9929
344,25.8169
345,5.01909
346,19.9571
347,27.7894
348,15.844
349,12.1512
350,4.32139
351,8.94455
352,9.45251
353,20.4923
354,17.1048
355,21.7508
356,17.4772
357,22.6811
358,29.4521
359,7.03991
360,18.0548
361,25.4759
362,10.9081
363,18.7122
364,28.0496
365,20.7996
366,28.6867
367,5.593
368,25.1486
369,32.7004
370,20.1973
371,26.1271
372,16.4118
373,6.03246
374,17.4298
375,15.5003
376,32.5606
377,24.6307
378,28.3882
379,20.8068
380,18.3662
381,21.0759
382,10.2684
383,17.6728
384,31.4475
385,27.4955
386,13.5771
387,28.6202
388,16.6039
389,-5.39283
390,31.5086
391,20.1612
392,23.4867
393,25.1504
394,17.1295
395,10.7989
396,10.9304
397,24.9055
398,26.4838
399,17.1684
400,16.8297
401,32.7554
402,11.7704
403,29.4895
404,27.1796
405,32.0061
406,25.0941
407,19.3474
408,28.6728
409,42.8878
410,28.7715
411,9.49686
412,13.9126
413,15.5024
414,6.21031
415,22.2886
416,10.9988
417,25.2561
418,4.29805
419,13.3761
420,15.7561
421,12.1338
422,21.4419
423,17.6098
424,6.23441
425,25.1418
426,17.7797
427,34.0346
428,11.8219
429,21.6855
430,18.3165
431,21.3577
432,13.0337
433,36.9635
434,15.3562
435,8.14857
436,23.3607
437,26.1436
438,11.8216
439,38.169
440,13.4253
441,16.3408
442,14.5974
443,26.3761
444,33.5607
445,15.3862
446,12.255
447,24.1364
448,10.5513
449,21.8409
450,35.1691
451,11.1236
452,18.4527
453,10.9268
454,20.9271
455,30.7006
456,34.8325
457,20.526
458,8.99102
459,20.1224
460,23.5494
461,28.8342
462,13.2917
463,16.9839
464,12.7771
465,23.1927
466,26.9862
467,18.051
468,29.9859
469,36.6334
470,8.92766
471,10.1142
472,23.4898
473,24.4145
474,24.1515
475,15.1069
476,3.44839
477,16.9432
478,13.7785
479,13.5504
480,37.4655
481,35.1802
482,17.6184
483,27.4975
484,15.7052
485,31.4425
486,20.3766
487,0.327858
488,19.4204
489,21.6339
490,9.08965
491,1.50324
492,0.452646
493,20.734
494,11.6124
495,30.9027
496,14.3223
497,20.5236
498,29.0141
499,15.736
500,37.3564
501,14.9326
502,31.1185
503,24.4209
504,11.8895
505,14.6898
506,11.8931
507,12.1176
508,14.028
509,21.0333
510,26.1216
511,26.2499
512,22.7655
513,8.86121
514,24.708
515,38.0304
516,9.1086
517,22.4376
518,29.443
519,40.9704
520,11.1711
521,23.454
522,20.9877
523,18.3005
524,29.9641
525,23.3506
526,20.6142
527,32.5961
528,28.9307
529,40.0432
530,10.824
531,29.5907
532,16.0522
533,11.3716
534,36.5618
535,23.5036
536,20.5172
537,22.9924
538,36.3735
539,46.601
540,9.20705
541,31.2578
542,15.6177
543,13.6095
544,39.6603
545,20.4884
546,4.99701
547,33.3803
548,16.7476
549,23.6467
550,12.1455
551,22.7521
552,13.7905
553,32.3142
554,-0.37525
555,27.9451
556,46.0611
557,17.2624
558,8.39852
559,19.282
560,28.9503
561,27.2673
562,12.8166
563,25.4217
564,39.0992
565,35.0416
566,25.3628
567,-3.47987
568,24.2639
569,23.9138
570,31.6092
571,15.9109
572,33.1959
573,18.2907
574,12.986
575,20.014
576,37.755
577,18.0752
578,20.9628
579,16.301
580,33.0827
581,19.1899
582,12.6792
583,20.3481
584,34.4863
585,44.6178
586,32.4655
587,18.1821
588,20.6896
589,33.8535
590,22.2836
591,47.2139
592,36.5015
593,27.5978
594,24.8188
595,29.1596
596,27.4397
597,26.1469
598,21.5051
599,31.8839
600,26.0298
601,2.95812
602,30.9974
603,15.4904
604,11.0757
605,2.72626
606,21.141
607,24.6348
608,43.0667
609,23.5476
610,27.7287
611,13.9331
612,12.0626
613,12.5309
614,24.0342
615,20.0331
616,19.1839
617,6.08485
618,24.428
619,59.2267
620,36.9439
621,30.5555
622,21.5611
623,13.4782
624,16.1444
625,36.8627
626,20.2791
627,17.0906
628,6.32762
629,31.0855
630,37.3071
631,9.73069
632,20.0519
633,41.2565
634,22.4825
635,27.6741
636,26.3163
637,19.9784
638,11.1113
639,21.2141
640,25.8368
641,30.7262
642,4.11364
643,27.927
644,12.9128
645,9.49013
646,26.8928
647,30.7732
648,35.0511
649,30.3151
650,24.228
651,15.6196
652,31.3584
653,17.8442
654,17.4539
655,12.4283
656,19.0866
657,17.8971
658,31.8647
659,26.7246
660,11.3344
661,23.172
662,24.403
663,17.6439
664,31.9852
665,34.1818
666,39.8448
667,24.695
668,27.0636
669,4.16994
670,28.184
671,36.3341
672,23.6161
673,33.3171
674,23.0849
675,44.9515
676,20.3897
677,21.4997
678,17.9038
679,32.2818
680,17.7213
681,26.7634
682,36.9354
683,11.4309
684,25.0669
685,20.7259
686,41.7695
687,41.9623
688,23.9201
689,27.3768
690,22.0595
691,22.9313
692,8.77463
693,36.9108
694,37.064
695,36.5028
696,23.4668
697,26.5343
698,0.212725
699,18.2234
700,16.5486
701,25.7928
702,-4.33546
703,18.9064
704,5.49563
705,21.3941
706,32.8549
707,12.8615
708,31.4361
709,19.4094
710,16.5024
711,24.6476
712,21.9507
713,12.7252
714,22.5547
715,18.7223
716,24.5586
717,25.7943
718,26.2322
719,5.45893
720,8.17971
721,10.8311
722,24.8135
723,6.36538
724,25.6433
725,48.9631
726,20.0961
727,6.49962
728,24.2554
729,35.9525
730,15.4945
731,29.8902
732,17.5284
733,18.0738
734,40.076
735,35.9204
736,29.4648
737,29.5125
738,13.4308
739,35.7666
740,13.0183
741,24.5528
742,22.6335
743,18.1266
744,35.9379
745,13.5842
746,23.2127
747,27.676
748,30.5967
749,16.2908
750,32.5293
751,28.392
752,33.7684
753,22.2083
754,34.2905
755,24.3715
756,15.854
757,40.4026
758,42.6048
759,21.1873
760,27.387
