Episode,Reward
0,-92.6959
1,-85.4958
2,-93.6545
3,-78.4598
4,-86.9134
5,-78.0898
6,-92.8165
7,5.83703
8,26.3947
9,31.686
10,-76.3429
11,-77.2983
12,-75.1432
13,32.5741
14,25.6892
15,0.598219
16,2.40588
17,1.12901
18,0.0855521
19,1.56078
20,1.09371
21,-2.07847
22,5.28151
23,1.13316
24,2.19106
25,1.98431
26,1.41324
27,39.244
28,24.0547
29,17.7451
30,19.458
31,15.0935
32,28.171
33,10.9726
34,17.6944
35,18.0629
36,31.3033
37,3.83082
38,15.0835
39,14.6899
40,14.6568
41,-76.3761
42,-34.5474
43,-37.3725
44,29.9656
45,1.66765
46,-0.332586
47,1.48032
48,1.0121
49,2.26667
50,-32.5398
51,0.609987
52,0.893091
53,0
54,0
55,0.0769792
56,-43.2662
57,-2.64935
58,-45.9669
59,-0.14945
60,-23.9715
61,0.280301
62,1.2298
63,0
64,-0.125742
65,-0.060242
66,1.393
67,1.16871
68,1.053
69,-2.51161
70,0.590107
71,1.34513
72,0.014181
73,-0.0699251
74,0.354683
75,0
76,0.407839
77,0.188235
78,0.14069
79,0.990248
80,0.630454
81,0
82,-0.753051
83,0
84,0.136436
85,-0.248781
86,2.59608
87,0.348624
88,0.921533
89,2.44441
90,0.369865
91,-0.794734
92,-3.55163
93,2.28114
94,-3.17975
95,0.487278
96,-2.85189
97,-1.85992
98,-3.1148
99,0.758539
100,0
101,2.3969
102,0.0801369
103,1.97287
104,1.42647
105,0.165856
106,0.149434
107,0
108,0.714024
109,2.33049
110,-2.89694
111,-29.184
112,0
113,0.655908
114,0
115,0
116,-34.866
117,-24.7017
118,0
119,0
120,-6.61708
121,-1.82577
122,0
123,-4.85457
124,0
125,-26.1109
126,-0.922745
127,0
128,-4.67428
129,-1.8946
130,0
131,0
132,-0.710553
133,-35.3665
134,-0.895046
135,-6.87603
136,1.98333
137,1.7185
138,-8.10693
139,-35.7898
140,-54.7175
141,-2.3027
142,0
143,-0.393746
144,-8.6001
145,-0.655659
146,0.0999674
147,0
148,-37.6658
149,-6.56031
150,1.78377
151,1.47709
152,-5.07616
153,-0.824961
154,4.46424
155,0.378996
156,0.904542
157,0.339223
158,-0.230924
159,1.22907
160,15.4772
161,40.6287
162,23.0335
163,21.9618
164,-3.24244
165,1.64061
166,1.41993
167,1.20966
168,0.963662
169,0.572161
170,11.883
171,-61.687
172,2.15139
173,3.58429
174,-0.252459
175,2.07999
176,-0.248921
177,0.327787
178,3.80733
179,-1.41506
180,1.7949
181,2.00421
182,2.69544
183,0.452958
184,1.76111
185,11.8079
186,12.0642
187,10.6889
188,-45.4239
189,1.50379
190,26.6938
191,30.8576
192,10.8785
193,37.2719
194,-64.5301
195,0.088333
196,0
197,0.0868463
198,1.01104
199,0.54444
200,-0.22782
201,0
202,0.122223
203,0.696371
204,0
205,0.239527
206,0
207,0.657687
208,0.192498
209,0.00610948
210,0.110501
211,-30.6679
212,-5.03551
213,-48.2726
214,-51.9881
215,-0.249232
216,22.95
217,21.4429
218,2.05136
219,1.49479
220,-0.953519
221,1.12784
222,0.416419
223,0
224,0
225,0.0367427
226,1.57473
227,0.535176
228,0
229,-2.73438
230,-4.34378
231,-31.0919
232,-40.1896
233,11.8675
234,-0.47534
235,19.1628
236,23.0784
237,22.4074
238,-0.25435
239,-2.81006
240,-6.34673
241,-0.0824404
242,-73.9596
243,-46.9723
244,-76.4384
245,-36.0355
246,31.256
247,0
248,0
249,-1.07659
250,0.081764
251,0
252,0
253,0.835933
254,-0.470606
255,0.436119
256,0
257,0
258,-3.48894
259,0
260,-4.15932
261,-0.429889
262,-4.66214
263,0
264,0.237265
265,-6.86241
266,-0.675874
267,0
268,0
269,0.946815
270,0
271,0
272,0
273,-0.880264
274,-7.45728
275,-0.494839
276,0
277,-3.89965
278,20.16
279,2.50957
280,-4.21751
281,-8.87056
282,5.61816
283,18.1436
284,2.07822
285,21.542
286,6.69158
287,23.9221
288,19.9068
289,27.5629
290,17.4931
291,43.3981
292,23.2622
293,22.5929
294,12.9582
295,21.1129
296,39.6352
297,16.3868
298,-0.778324
299,-0.571167
300,29.7244
301,-0.637367
302,2.20107
303,-2.87607
304,0
305,1.0195
306,1.48649
307,-11.6745
308,0.297679
309,0
310,-5.37214
311,-0.801631
312,0.0785422
313,0.0960283
314,0.959585
315,0
316,18.2355
317,-0.081414
318,1.21309
319,0
320,1.18067
321,0
322,1.64333
323,0.112781
324,0
325,4.09235
326,0.225742
327,-5.5229
328,0.361112
329,5.20174
330,0.0960283
331,-7.61543
332,0.394681
333,-0.0247906
334,0.284123
335,1.99661
336,0.622322
337,1.64287
338,0.149434
339,-1.16381
340,0
341,-9.98034
342,0
343,0
344,-0.388784
345,0
346,-3.53619
347,-10.9973
348,-13.0342
349,-1.82088
350,-14.5307
351,0
352,0
353,-0.492585
354,0
355,0
356,0
357,-2.49079
358,-0.336216
359,0
360,0
361,-0.851223
362,-0.158739
363,-0.834514
364,-4.10309
365,-0.366916
366,-0.388784
367,-1.31275
368,0.281114
369,-0.629824
370,0.832152
371,0
372,-0.0257824
373,-7.37077
374,-2.27584
375,-32.1469
376,0
377,-2.33749
378,-51.8661
379,-4.70969
380,-27.6946
381,-49.5442
382,-1.26124
383,-1.63878
384,-5.19774
385,-3.20247
386,0
387,0
388,4.85327
389,0.925999
390,-1.88705
391,-1.84104
392,24.7686
393,3.80496
394,11.8278
395,-55.5113
396,2.32035
397,0.532901
398,-0.266646
399,2.74873
400,-2.22674
401,6.42284
402,0
403,-5.58871
404,-0.400685
405,0
406,-59.3582
407,0
408,-2.1179
409,-5.99688
410,-4.70484
411,-0.696413
412,0.0834242
413,-1.18816
414,0.497315
415,0
416,0
417,-4.21419
418,-1.85298
419,-3.61861
420,-7.6146
421,0.0739459
422,-0.916173
423,0
424,-2.92838
425,-3.223
426,2.04843
427,0.863058
428,-0.0584098
429,0.0769792
430,0
431,0
432,-1.71371
433,-7.09871
434,-2.88905
435,-2.38611
436,5.75378
437,-5.3314
438,4.11464
439,7.20904
440,-53.3593
441,9.16548
442,-34.9627
443,-33.9303
444,0.56764
445,0.243111
446,0.363549
447,0.1088
448,0.143546
449,-0.480141
450,0
451,0.0960283
452,-1.17739
453,-2.73506
454,-1.13544
455,-1.67201
456,-0.859778
457,-7.92254
458,0
459,0.265914
460,-0.635632
461,0
462,-1.29847
463,0
464,1.28896
465,-0.47534
466,-0.19267
467,-0.41295
468,-1.00215
469,-3.17661
470,-2.97129
471,0
472,-74.3375
473,0
474,0
475,-9.63058
476,-5.05538
477,0.276907
478,-0.592966
479,-33.0979
480,0
481,0
482,-0.266281
483,-0.512791
484,-0.404732
485,-1.20756
486,-1.59373
487,0.665315
488,0
489,-3.0174
490,-4.97212
491,-27.7577
492,-0.642612
493,-19.4664
494,1.17142
495,-9.37376
496,-6.55977
497,-0.00873328
498,-5.40121
499,-8.48388
500,0
501,-6.8612
502,-0.45661
503,-5.16802
504,-0.479965
505,1.1032
506,2.13942
507,0.140676
508,-1.47775
509,-6.82617
510,-2.38907
511,-4.27962
512,-1.58506
513,0.210249
514,0.0640592
515,0
516,-0.381047
517,-1.1514
518,0
519,-1.16568
520,0.565018
521,-5.74347
522,0.729584
523,0
524,-5.08169
525,0.396801
526,-6.58069
527,-4.6832
528,0
529,-3.80711
530,-2.20985
531,1.14704
532,0
533,-5.93784
534,-4.05239
535,-50.2883
536,-0.936471
537,-8.76844
538,42.3921
539,-0.246451
540,-6.55933
541,-3.04963
542,-5.05664
543,1.66028
544,-3.64597
545,27.6656
546,26.784
547,50.7445
548,-1.02706
549,-1.91918
550,-3.50805
551,-3.17376
552,6.40135
553,-0.81288
554,24.7787
555,23.3787
556,21.8733
557,12.7396
558,5.63592
559,1.28088
560,2.11221
561,6.23192
562,-0.157988
563,2.70335
564,0.401192
565,-0.223774
566,-5.12726
567,-0.433044
568,-5.90409
569,1.94078
570,2.50646
571,1.71063
572,-1.47152
573,-1.77451
574,-0.817907
575,-0.566774
576,6.23775
577,2.14162
578,25.1514
579,-61.2592
580,-8.29239
581,0.216477
582,2.17054
583,0.121135
584,1.41414
585,-4.855
586,-0.31049
587,2.69662
588,-1.94558
589,1.40501
590,-47.6915
591,0.0834242
592,1.69514
593,0
594,-15.0554
595,-0.525756
596,-1.39921
597,-0.452418
598,-3.52593
599,-0.219964
600,0.112781
601,-1.03218
602,0.766766
603,-0.228897
604,-0.675311
605,-2.16767
606,1.01245
607,-4.08157
608,-0.421626
609,0.761588
610,-6.3605
611,-2.27611
612,-1.80967
613,-64.2586
614,0.91877
615,1.08396
616,0.302979
617,-0.264447
618,1.91956
619,-2.2735
620,0.390581
621,0
622,-1.95823
623,-2.19643
624,-0.960596
625,-5.20115
626,-3.58346
627,-5.95601
628,-3.15548
629,-6.819
630,-25.6964
631,-8.95608
632,-8.1364
633,0
634,0
635,-17.3755
636,0
637,0.081764
638,0.0754473
639,-39.4334
640,0
641,-3.04601
642,-0.24461
643,0
644,0.15399
645,2.47601
646,1.5692
647,0
648,0
649,-7.6621
650,-11.2333
651,-0.429889
652,0
653,0
654,0
655,-0.886385
656,-0.569601
657,-1.21133
658,-0.421334
659,-1.18689
660,0
661,0
662,0
663,0
664,-2.5722
665,-12.6159
666,0
667,0
668,-1.3244
669,-16.6924
670,0
671,0
672,0
673,-1.04115
674,-27.5067
675,-62.0074
676,0
677,-2.27616
678,0
679,-0.785678
680,-0.40882
681,-12.1945
682,-1.81498
683,0.263551
684,-6.39081
685,-1.48913
686,-7.01937
687,-2.96429
688,-2.58917
689,-2.91557
690,0.539599
691,0
692,-23.0748
693,-27.6278
694,-42.947
695,-10.9116
696,-53.5956
697,-11.1947
698,-1.14126
699,0
700,-0.756699
701,0
702,0
703,-38.5297
704,-2.45236
705,-6.48148
706,1.39979
707,0.7089
708,0.394928
709,-0.396678
710,0.346684
711,-55.8866
712,-61.2137
713,-49.7875
714,0.27167
715,1.19352
716,0.0886096
717,-2.02154
718,0
719,2.42703
720,0.831771
721,0
722,0
723,0.449167
724,0.0333242
725,2.11517
726,-0.120774
727,0.178747
728,1.01904
729,1.85593
730,0.816406
731,-1.40867
732,-0.00503595
733,0.362564
734,-0.581166
735,-0.512816
736,0
737,-0.696413
738,-7.64036
739,-2.47534
740,-4.86895
741,-4.79425
742,-2.15559
743,-6.26222
744,0
745,0
746,-3.67068
747,0
748,-5.68156
749,-1.11497
750,-1.42139
751,2.21788
752,-0.315546
753,0.885845
754,0.293851
755,0.298942
756,-6.93933
757,-4.67169
758,0.841473
759,0.0318394
760,0
761,0.340167
762,-2.24433
763,-12.0351
764,18.7779
765,35.2183
766,1.81271
767,1.09688
768,-1.81672
769,0.252553
770,0
771,0.231135
772,0.593912
773,-0.420376
774,0.835809
775,-0.801282
776,0.323343
777,-0.447523
778,0.866684
779,-1.03311
780,-0.380087
781,-1.8989
782,1.06641
783,-30.986
784,2.4975
785,0.158679
786,0
787,1.38803
788,1.20786
789,1.88152
790,-0.265376
791,0.146461
792,-0.769831
793,-0.659506
794,1.97318
795,-0.484991
796,0.40947
797,0.966955
798,0
799,-0.689449
800,0
801,1.59446
802,0
803,0.198651
804,2.56148
805,0
806,0.675411
807,-0.836307
808,0.250352
809,-0.323372
810,0
811,0.121784
812,-2.64118
813,-0.851458
814,-20.4537
815,0.993349
816,0.400809
817,-0.306799
818,0
819,0
820,0
821,0
822,0
823,-0.412578
824,0.572932
825,0
826,-1.38241
827,-1.16055
828,-0.266064
829,0
830,-1.80093
831,0.63304
832,0.194053
833,-4.00299
834,-18.0224
835,0.143546
836,0
837,-5.72709
838,0.203215
839,0.206867
840,0.916679
841,0
842,0
843,0.965943
844,-0.785678
845,0.944573
846,0
847,-1.28156
848,0
849,0.306236
850,-2.81721
851,0.085118
852,0
853,-0.525596
854,-0.336216
855,2.2677
856,-0.402889
857,-0.525596
858,-3.46265
859,-0.421334
860,0
861,-0.41295
862,-0.381047
863,0.112781
864,0.800829
865,-1.52755
866,0.312606
867,0.302724
868,0.683634
869,15.5479
870,16.694
871,1.87621
872,0.568672
873,0.799197
874,1.66755
875,2.00808
876,0.931556
877,1.23682
878,2.03623
879,0.784549
880,-0.530906
881,-0.913517
882,-3.94249
883,-11.5047
884,0
885,0
886,-13.4316
887,-8.42816
888,-7.06074
889,0
890,-0.499837
891,-8.40165
892,-6.02075
893,-12.894
894,-0.530906
895,-4.23005
896,-4.67668
897,-1.73409
898,-10.0719
899,-2.96578
900,0
901,0
902,0
903,-1.0184
904,0
905,-0.36973
906,0
907,0
908,-6.04113
909,0
910,-2.64625
911,-8.67535
912,-3.84478
913,-7.79322
914,-1.46964
915,-1.91495
916,-3.70814
917,-3.68773
918,-1.06316
919,-8.62466
920,-0.429889
921,-0.682555
922,-8.31646
923,0
924,-1.51635
925,0
926,-0.429889
927,-2.28704
928,-8.85283
929,-3.64715
930,0.482375
931,-2.77899
932,3.14186
933,-0.464575
934,0.773059
935,-0.58833
936,-0.47534
937,0
938,-1.3599
939,-1.82934
940,-0.960596
941,-0.642612
942,-13.5163
943,-1.8581
944,0.356552
945,0
946,-1.78963
947,-1.92509
948,-5.50253
949,0
950,-28.2845
951,-0.165542
952,-1.09812
953,-7.36894
954,-7.03042
955,-2.20158
956,0.251631
957,1.55318
958,1.13141
959,-0.563905
960,0
961,0.185508
962,0
963,-0.443048
964,-2.14774
965,0.519279
966,-0.986362
967,-1.84891
968,-0.374808
969,-3.14567
970,-0.0450863
971,0.859138
972,-1.65917
973,1.36941
974,1.98231
975,0.490525
976,1.74391
977,-0.293021
978,1.95632
979,0.304449
980,0.268089
981,6.58947
982,-1.79089
983,-2.05562
984,1.4457
985,-0.871271
986,-9.74415
987,24.5481
988,-3.00257
989,3.5831
990,2.79557
991,14.3185
992,14.5536
993,10.0122
994,32.9799
995,24.8146
996,8.74537
997,14.7889
998,13.4089
999,30.2663
1000,-59.712
1001,0.123298
1002,0.243721
1003,1.40376
1004,0.369117
1005,-0.140908
1006,1.44192
1007,0
1008,-0.326976
1009,1.38509
