Episode,Reward
0,-80.5544
1,-93.2875
2,-78.783
3,-78.2294
4,-75.2046
5,-77.2974
6,-80.583
7,-81.159
8,-26.8587
9,-90.369
10,-6.39256
11,1.22782
12,-0.0227027
13,-5.59195
14,-50.1723
15,-4.45409
16,-10.2038
17,-36.9491
18,-34.2622
19,-35.7209
20,-39.5115
21,5.53907
22,0.285194
23,1.90427
24,-39.6354
25,-41.2191
26,-35.6085
27,-0.576103
28,-1.19606
29,1.16841
30,-0.11656
31,4.697
32,3.38117
33,-35.1323
34,3.63908
35,-39.8801
36,-39.4495
37,-43.1077
38,-36.4387
39,-1.69205
40,-35.7683
41,-55.6472
42,-52.5702
43,-60.9454
44,-35.7613
45,-38.8287
46,-0.884218
47,-36.7219
48,-33.044
49,-38.0619
50,-53.7647
51,-52.4975
52,-60.828
53,-57.7546
54,-58.1954
55,-57.2294
56,-48.0498
57,-32.8191
58,-19.6302
59,-47.4193
60,-48.4663
61,-52.313
62,-52.8957
63,-54.8705
64,-55.1859
65,-56.0727
66,-52.9973
67,-58.8478
68,-39.7437
69,-37.6731
70,-35.6855
71,2.88771
72,3.15593
73,1.65075
74,3.73375
75,-1.32441
76,-0.713586
77,-2.40073
78,2.16227
79,4.07709
80,0.535389
81,-44.454
82,-37.918
83,-37.5676
84,-36.696
85,-36.6139
86,-43.1511
87,-0.652891
88,2.52397
89,1.26452
90,1.61799
91,0.0398232
92,-6.08764
93,-3.15505
94,0.642537
95,0.263564
96,2.15387
97,3.84211
98,0.183746
99,-2.38334
100,0.603959
101,-42.892
102,-39.1492
103,-53.7264
104,-53.1663
105,-53.517
106,-52.7137
107,-33.2622
108,-0.423622
109,1.813
110,-3.77565
111,-6.13474
112,-1.58829
113,-1.98894
114,-2.94606
115,-5.33948
116,-4.23179
117,-1.87631
118,5.3399
119,-45.1063
120,-38.463
121,-38.6783
122,-35.4727
123,-44.2386
124,-37.2198
125,-38.687
126,-37.8135
127,0.40258
128,2.92332
129,-1.81701
130,4.36425
131,-40.8904
132,-39.7143
133,-32.9227
134,-40.6376
135,-41.11
136,-38.3739
137,-39.0794
138,-40.7332
139,-3.25661
140,-0.587963
141,-0.999283
142,-6.40291
143,-3.43872
144,4.10804
145,-3.70182
146,2.51811
147,3.84082
148,1.681
149,-1.50554
150,-3.63833
151,-2.20795
152,-38.2298
153,-34.9803
154,-36.1798
155,-1.26484
156,-37.8132
157,-38.7726
158,-34.4404
159,-33.0806
160,-3.02258
161,-2.86114
162,-2.72189
163,-2.90759
164,4.00729
165,-2.27392
166,-1.13811
167,1.38964
168,1.96963
169,1.99909
170,5.31311
171,1.21866
172,0.387298
173,-39.6024
174,-37.953
175,-35.9564
176,-36.3334
177,-37.4227
178,-34.0226
179,-35.9209
180,-42.5537
181,-35.2554
182,-41.719
183,-37.073
184,-40.3437
185,4.23085
186,-1.63719
187,-3.84481
188,-2.145
189,5.83178
190,-38.7507
191,-42.8126
192,-35.5759
193,-40.4277
194,-35.7823
195,3.44356
196,-2.4591
197,0.473461
198,-2.68688
199,-1.39766
200,-3.70252
201,-4.65808
202,5.61087
203,3.03922
204,1.49036
205,2.64798
206,-0.522393
207,-1.24783
208,-4.78655
209,-0.216274
210,1.04652
211,3.2803
212,-0.962367
213,-3.46653
214,-2.67728
215,-30.5405
216,0.802621
217,3.53345
218,2.97822
219,-0.430869
220,2.21841
221,0.761822
222,-27.6817
223,-33.9023
224,2.58752
225,-1.62194
226,-2.33222
227,0.138924
228,2.3591
229,-5.13804
230,-3.88522
231,-40.5979
232,-39.7284
233,-34.6491
234,-37.104
235,-37.6627
236,-12.8972
237,-28.9686
238,-2.24716
239,-3.89775
240,-4.21442
241,-3.02392
242,-0.531359
243,1.3897
244,-7.89108
245,1.40924
246,-2.49224
247,-2.48735
248,1.51459
249,-32.2771
250,-33.7885
251,-33.6631
252,-11.5164
253,0.310932
254,-2.39223
255,-1.12607
256,29.652
257,65.563
258,38.9621
259,48.1731
260,33.3961
261,73.4051
262,33.8016
263,33.8682
264,73.3687
265,39.9013
